company;language;report_type;year;link
UBS;EN;FR;1998;"https://www.ubs.com/global/en/about_ubs/investor_relations/annualreporting/archive/_jcr_content/par/accordionbox_c1db/table_1992.1242871273.file/dGFibGVUZXh0PS9jb250ZW50L2RhbS91YnMvZ2xvYmFsL2Fib3V0X3Vicy9pbnZlc3Rvcl9yZWxhdGlvbnMvMzI3NDZfZmluYW5jaWFsOThfZS5wZGY=/32746_financial98_e.pdf" 
UBS;EN;FR;1999;"https://www.ubs.com/global/en/about_ubs/investor_relations/annualreporting/archive/_jcr_content/par/accordionbox_c1db/table_281e.0110526145.file/dGFibGVUZXh0PS9jb250ZW50L2RhbS91YnMvZ2xvYmFsL2Fib3V0X3Vicy9pbnZlc3Rvcl9yZWxhdGlvbnMvMzMwNzhfZmluYW5jaWFsOTlfZS5wZGY=/33078_financial99_e.pdf" 
UBS;EN;FR;2000;"https://www.ubs.com/global/en/about_ubs/investor_relations/annualreporting/archive/_jcr_content/par/accordionbox_c1db/table_5efd.0513902762.file/dGFibGVUZXh0PS9jb250ZW50L2RhbS91YnMvZ2xvYmFsL2Fib3V0X3Vicy9pbnZlc3Rvcl9yZWxhdGlvbnMvMzI4MTZfZmluYW5jaWFsMDBfZS5wZGY=/32816_financial00_e.pdf" 
UBS;DE;FR;2000;"https://www.ubs.com/global/en/about_ubs/investor_relations/annualreporting/archive/_jcr_content/par/accordionbox_c1db/table_5efd.0650928117.file/dGFibGVUZXh0PS9jb250ZW50L2RhbS91YnMvZ2xvYmFsL2Fib3V0X3Vicy9pbnZlc3Rvcl9yZWxhdGlvbnMvMzI5NDJfZmluYW5jaWFsMDBfZC5wZGY=/32942_financial00_d.pdf"
UBS;EN;FR;2001;"https://www.ubs.com/global/en/about_ubs/investor_relations/annualreporting/archive/_jcr_content/par/accordionbox_c1db/table_9b38.0379322891.file/dGFibGVUZXh0PS9jb250ZW50L2RhbS91YnMvZ2xvYmFsL2Fib3V0X3Vicy9pbnZlc3Rvcl9yZWxhdGlvbnMvMzI3MzBfRlJfMjAwMV9lLnBkZg==/32730_FR_2001_e.pdf"
UBS;DE;FR;2001;"https://www.ubs.com/global/en/about_ubs/investor_relations/annualreporting/archive/_jcr_content/par/accordionbox_c1db/table_9b38.1034466092.file/dGFibGVUZXh0PS9jb250ZW50L2RhbS91YnMvZ2xvYmFsL2Fib3V0X3Vicy9pbnZlc3Rvcl9yZWxhdGlvbnMvMzI2NjRfRlJfMjAwMV9kLnBkZg==/32664_FR_2001_d.pdf"
UBS;EN;FR;2002;"https://www.ubs.com/global/en/about_ubs/investor_relations/annualreporting/archive/_jcr_content/par/accordionbox_c1db/table_21e1.0554310140.file/dGFibGVUZXh0PS9jb250ZW50L2RhbS91YnMvZ2xvYmFsL2Fib3V0X3Vicy9pbnZlc3Rvcl9yZWxhdGlvbnMvMzI3MDlfRlJFMDJfZW5kLnBkZg==/32709_FRE02_end.pdf"
UBS;DE;FR;2002;"https://www.ubs.com/global/en/about_ubs/investor_relations/annualreporting/archive/_jcr_content/par/accordionbox_c1db/table_21e1.0327951345.file/dGFibGVUZXh0PS9jb250ZW50L2RhbS91YnMvZ2xvYmFsL2Fib3V0X3Vicy9pbnZlc3Rvcl9yZWxhdGlvbnMvMzI3MjZfRlJEMDJfZW5kLnBkZg==/32726_FRD02_end.pdf"
UBS;EN;FR;2003;"https://www.ubs.com/global/en/about_ubs/investor_relations/annualreporting/archive/_jcr_content/par/accordionbox_c1db/table_c331.1239094170.file/dGFibGVUZXh0PS9jb250ZW50L2RhbS91YnMvZ2xvYmFsL2Fib3V0X3Vicy9pbnZlc3Rvcl9yZWxhdGlvbnMvMzMxNTNfZV9HWkRfRlIwMy5wZGY=/33153_e_GZD_FR03.pdf"
UBS;DE;FR;2003;"https://www.ubs.com/global/en/about_ubs/investor_relations/annualreporting/archive/_jcr_content/par/accordionbox_c1db/table_c331.1001108226.file/dGFibGVUZXh0PS9jb250ZW50L2RhbS91YnMvZ2xvYmFsL2Fib3V0X3Vicy9pbnZlc3Rvcl9yZWxhdGlvbnMvMzMwOTNfZF9HWkRfRlIwMy5wZGY=/33093_d_GZD_FR03.pdf"
