company;language;report_type;year;link
Swiss Re;EN;GB;2017;"http://reports.swissre.com/2017/servicepages/downloads/files/2017_business_report_swissre_ar17.pdf"
Swiss Re;DE;GB;2017;"http://reports.swissre.com/2017/servicepages/downloads/files/2017_business_report_swissre_ar17_de.pdf"
Swiss Re;EN;FR;2017;"http://reports.swissre.com/2017/servicepages/downloads/files/2017_financial_report_swissre_ar17.pdf"
Swiss Re;DE;GB;2017;"http://reports.swissre.com/2017/servicepages/downloads/files/2017_financial_report_swissre_ar17_de.pdf"
Swiss Re;EN;CR;2017;"http://reports.swissre.com/corporate-responsibility-report/2017/servicepages/downloads/files/2017_corporate_responsibility_report_swissre_crr17.pdf"
Swiss Re;EN;GB;2016;"http://reports.swissre.com/2016/servicepages/downloads/files/2016_business_report_swissre_ar16.pdf"
Swiss Re;DE;GB;2016;"http://reports.swissre.com/2016/servicepages/downloads/files/2016_business_report_swissre_ar16_de.pdf"
Swiss Re;EN;FR;2016;"http://reports.swissre.com/2016/servicepages/downloads/files/2016_financial_report_swissre_ar16.pdf"
Swiss Re;DE;FR;2016;"http://reports.swissre.com/2016/servicepages/downloads/files/2016_financial_report_swissre_ar16_de.pdf"
Swiss Re;EN;CR;2016;"http://reports.swissre.com/corporate-responsibility-report/2016/servicepages/downloads/files/2016_corporate_responsibility_report_swissre_crr16.pdf"
Swiss Re;EN;GB;2015;"http://reports.swissre.com/2015/servicepages/downloads/files/2015_business_report_swissre_ar15.pdf"
Swiss Re;EN;FR;2015;"http://reports.swissre.com/2015/servicepages/downloads/files/2015_financial_report_swissre_ar15.pdf"
Swiss Re;EN;CR;2015;"http://reports.swissre.com/corporate-responsibility-report/2015/servicepages/downloads/files/2015_corporate_responsibility_report_swissre_crr15.pdf"
Swiss Re;EN;GB;2014;"http://reports.swissre.com/2014/servicepages/downloads/files/download.php?file=2014_business_report_swissre_ar14.pdf"
Swiss Re;EN;FR;2014;"http://reports.swissre.com/2014/servicepages/downloads/files/download.php?file=2014_financial_report_swissre_ar14.pdf"
Swiss Re;EN;CR;2014;"http://reports.swissre.com/corporate-responsibility-report/2014/servicepages/downloads/files/download.php?file=2014_corporate_responsibility_report_swissre_crr14.pdf"
Swiss Re;EN;GB;2013;"http://reports.swissre.com/2013/servicepages/downloads/files/download.php?file=2013_business_report_swissre_ar13.pdf"
Swiss Re;EN;FR;2013;"http://reports.swissre.com/2013/servicepages/downloads/files/download.php?file=2013_financial_report_swissre_ar13.pdf"
Swiss Re;EN;GB;2012;"http://reports.swissre.com/2012/servicepages/downloads/files/download.php?file=2012_business_report_swissre_ar12.pdf"
Swiss Re;EN;FR;2012;"http://reports.swissre.com/2012/servicepages/downloads/files/download.php?file=2012_financial_report_swissre_ar12.pdf"
