company;language;report_type;year;link
PSP Swiss Property;DE;GB;2017;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Swiss_Prime_Site_Geschaeftsbericht_2017_de_web_hkptkb/Swiss_Prime_Site_Geschaeftsbericht_2017_de_web.pdf"
PSP Swiss Property;DE;FB;2017;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Swiss_Prime_Site_Finanzbericht_2017_de_web_geqeni/Swiss_Prime_Site_Finanzbericht_2017_de_web.pdf"
PSP Swiss Property;DE;NB;2017;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Swiss_Prime_Site_Nachhaltigkeitsbericht_2017_de_web_fxv3pi/Swiss_Prime_Site_Nachhaltigkeitsbericht_2017_de_web.pdf"
PSP Swiss Property;DE;FB;2016;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Finanzbericht_2016_bievij/Finanzbericht_2016.pdf"
PSP Swiss Property;DE;VB;2016;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/CorporateGovernance_Verguetungsbericht_2016_hdlnkb/CorporateGovernance_Verguetungsbericht_2016.pdf"
PSP Swiss Property;DE;SB;2016;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Strategie_Lagebericht_2016_atbkea/Strategie_Lagebericht_2016.pdf"
PSP Swiss Property;DE;SB;2015;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Strategie_Lagebericht_2015_k0dkga/Strategie_Lagebericht_2015.pdf"
PSP Swiss Property;DE;VB;2015;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/CorporateGovernance_Verguetungsbericht_2015_xcodsk/CorporateGovernance_Verguetungsbericht_2015.pdf"
PSP Swiss Property;DE;FB;2015;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Finanzbericht_2015_tj1u9n/Finanzbericht_2015.pdf"
PSP Swiss Property;DE;SB;2014;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Strategie_Lagebericht_2014_yfefki/Strategie_Lagebericht_2014.pdf"
PSP Swiss Property;DE;VB;2014;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/CorporateGovernance_Verguetungsbericht_2014_jnupjm/CorporateGovernance_Verguetungsbericht_2014.pdf"
PSP Swiss Property;DE;FB;2014;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Finanzbericht_2014_r5k5vc/Finanzbericht_2014.pdf"
PSP Swiss Property;DE;GB;2013;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Jahresbericht_2013_mpytcr/Jahresbericht_2013.pdf"
PSP Swiss Property;DE;GB;2012;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Jahresbericht_2012_ehr8dq/Jahresbericht_2012.pdf"
PSP Swiss Property;DE;GB;2011;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Jahresbericht_2011_q4gewj/Jahresbericht_2011.pdf"
PSP Swiss Property;DE;GB;2010;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Jahresbericht_2010_y3gkzq/Jahresbericht_2010.pdf"
PSP Swiss Property;DE;GB;2009;"https://deep-impact-ag-res.cloudinary.com/images/v1/swissprimesite/Jahresbericht_2009_bacu0p/Jahresbericht_2009.pdf"
