company;language;report_type;year;link
Adecco;EN;GB;2017;"http://ar.adeccogroup.com/documents/The-Adecco-Group-2017-Annual-Report.pdf"
Adecco;EN;GB;2016;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2016.pdf"
Adecco;EN;GB;2015;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2015.pdf"
Adecco;EN;GB;2014;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2014.pdf"
Adecco;EN;GB;2013;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2013.pdf"
Adecco;EN;GB;2012;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2012.pdf"
Adecco;EN;GB;2011;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2011.pdf"
Adecco;EN;GB;2010;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2010.pdf"
Adecco;EN;GB;2009;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2009.pdf"
Adecco;EN;GB;2008;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2008.pdf"
Adecco;EN;GB;2007;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2007.pdf"
Adecco;EN;GB;2006;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2006.pdf"
Adecco;EN;GB;2005;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2005.pdf"
Adecco;EN;GB;2004;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2004.pdf"
Adecco;EN;GB;2003;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2003.pdf"
Adecco;EN;GB;2002;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2002.pdf"
Adecco;EN;GB;2001;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2001.pdf"
Adecco;EN;GB;2000;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport2000.pdf"
Adecco;EN;GB;1999;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport1999.pdf"
Adecco;EN;GB;1998;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport1998.pdf"
Adecco;EN;GB;1997;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport1997.pdf"
Adecco;EN;GB;1996;"https://www.adeccogroup.com/wp-content/themes/ado-group/downloads/AnnualReport1996.pdf"
